"address","zipCode","city","state","price","bed","bath","sqft","pricePerSf","lotArea","lotAreaType","dateSold","dateSoldNumeric","zillowUrl","latitude","longitude","homeType","zestimate","rentZestimate","imageUrl"
"202 N Sabra Ave, Oak Park, CA 91377","91377","Oak Park","CA","1025000","3","2","1506","680.61","9627","sqft","8/12/2024","1723446000000","https://zillow.com/homedetails/202-N-Sabra-Ave-Oak-Park-CA-91377/16494203_zpid/","34.17255","-118.759514","SINGLE_FAMILY","1025300","4541","https://photos.zillowstatic.com/fp/9313157309c6e1aa0fc5f9a4f950da28-p_e.jpg"
"75 Mimosa Ct, Oak Park, CA 91377","91377","Oak Park","CA","799000","3","3","1462","546.51","2050","sqft","8/5/2024","1722841200000","https://zillow.com/homedetails/75-Mimosa-Ct-Oak-Park-CA-91377/16494876_zpid/","34.16974","-118.766846","SINGLE_FAMILY","799300","3991","https://photos.zillowstatic.com/fp/935ad8d3c3fd3b7bf54828add96cc864-p_e.jpg"
"367 N Sprucewood Ave, Oak Park, CA 91377","91377","Oak Park","CA","740000","2","2","1134","652.56","5662","sqft","7/30/2024","1722322800000","https://zillow.com/homedetails/367-N-Sprucewood-Ave-Oak-Park-CA-91377/16494320_zpid/","34.17607","-118.75791","TOWNHOUSE","740100","3473","https://photos.zillowstatic.com/fp/02ba0f15ce31a5e46a5873deb435a4d6-p_e.jpg"
"5423 Spanish Oak Ln UNIT B, Oak Park, CA 91377","91377","Oak Park","CA","655000","2","3","1204","544.02","1204","sqft","7/29/2024","1722236400000","https://zillow.com/homedetails/5423-Spanish-Oak-Ln-UNIT-B-Oak-Park-CA-91377/16495841_zpid/","34.1799","-118.77167","TOWNHOUSE","655200","3787","https://photos.zillowstatic.com/fp/04ea54f452ad50ab621162544ceb5684-p_e.jpg"
"685 Parkside Ct UNIT 103, Oak Park, CA 91377","91377","Oak Park","CA","649000","2","3","1231","527.21","1231","sqft","7/24/2024","1721804400000","https://zillow.com/homedetails/685-Parkside-Ct-UNIT-103-Oak-Park-CA-91377/16497021_zpid/","34.184586","-118.76523","TOWNHOUSE","649200","3650","https://photos.zillowstatic.com/fp/7fca137069bdfa850dc24d03c206b99d-p_e.jpg"
"468 Pavarotti Dr, Oak Park, CA 91377","91377","Oak Park","CA","926000","3","3","1560","593.59","1560","sqft","7/23/2024","1721718000000","https://zillow.com/homedetails/468-Pavarotti-Dr-Oak-Park-CA-91377/16486833_zpid/","34.17843","-118.78572","TOWNHOUSE","926500","4194","https://photos.zillowstatic.com/fp/16e86404c51558f044ac78be83eda264-p_e.jpg"
"232 Via Del Caballo, Oak Park, CA 91377","91377","Oak Park","CA","717000","3","3","1462","490.42","2178","sqft","6/28/2024","1719558000000","https://zillow.com/homedetails/232-Via-Del-Caballo-Oak-Park-CA-91377/16495173_zpid/","34.174923","-118.7656","SINGLE_FAMILY","718500","3880","https://photos.zillowstatic.com/fp/1d21c051e1d8518188f03128ab1cdeb2-p_e.jpg"
"5423 Spanish Oak Ln UNIT E, Oak Park, CA 91377","91377","Oak Park","CA","673500","2","3","1236","544.9","1236","sqft","6/26/2024","1719385200000","https://zillow.com/homedetails/5423-Spanish-Oak-Ln-UNIT-E-Oak-Park-CA-91377/16495838_zpid/","34.179935","-118.7716","TOWNHOUSE","675000","3814","https://photos.zillowstatic.com/fp/60bffb932801d07ef53889400f70c619-p_e.jpg"
"5867 E Briarwood Ln, Oak Park, CA 91377","91377","Oak Park","CA","4495","3","2","1689","2.66","8712","sqft","6/15/2024","1718434800000","https://zillow.com/homedetails/5867-E-Briarwood-Ln-Oak-Park-CA-91377/16494772_zpid/","34.169334","-118.76411","SINGLE_FAMILY","1064100","4589","https://photos.zillowstatic.com/fp/f129136156e9b87843d88fa046708ba6-p_e.jpg"
"685 Parkside Ct UNIT 107, Oak Park, CA 91377","91377","Oak Park","CA","626000","2","3","1365","458.61","1245.816","sqft","6/7/2024","1717743600000","https://zillow.com/homedetails/685-Parkside-Ct-UNIT-107-Oak-Park-CA-91377/16496944_zpid/","34.18453","-118.76529","TOWNHOUSE","618200","3881","https://photos.zillowstatic.com/fp/ce5ff8ab3f5c0c0eb772d1dfc72f28c5-p_e.jpg"
"5782 Oak Bank Trl UNIT 108, Oak Park, CA 91377","91377","Oak Park","CA","635000","2","3","1244","510.45","1244","sqft","5/31/2024","1717138800000","https://zillow.com/homedetails/5782-Oak-Bank-Trl-UNIT-108-Oak-Park-CA-91377/16496774_zpid/","34.18266","-118.76639","TOWNHOUSE","637800","3334","https://photos.zillowstatic.com/fp/7f27aaabc8dd281f736cf8288bffc3f3-p_e.jpg"
"1081 Thistlegate Rd, Oak Park, CA 91377","91377","Oak Park","CA","888000","3","3","1514","586.53","1936","sqft","5/21/2024","1716274800000","https://zillow.com/homedetails/1081-Thistlegate-Rd-Oak-Park-CA-91377/16496001_zpid/","34.18405","-118.76105","TOWNHOUSE","892700","4416","https://photos.zillowstatic.com/fp/68cc698c443cd12b6ce827104454ec62-p_e.jpg"
"124 N Rosehedge Ln, Oak Park, CA 91377","91377","Oak Park","CA","660000","2","1","980","673.47","3532.716","sqft","5/15/2024","1715756400000","https://zillow.com/homedetails/124-N-Rosehedge-Ln-Oak-Park-CA-91377/16494861_zpid/","34.17084","-118.76648","TOWNHOUSE","650000","3211","https://photos.zillowstatic.com/fp/4f0e337aeb9c9fd526b20a34e1c046e1-p_e.jpg"
"6258 E Sunnycrest Dr, Oak Park, CA 91377","91377","Oak Park","CA","820500","3","3","1558","526.64","5662.8","sqft","5/7/2024","1715065200000","https://zillow.com/homedetails/6258-E-Sunnycrest-Dr-Oak-Park-CA-91377/16494307_zpid/","34.17623","-118.75877","TOWNHOUSE","813000","4221","https://photos.zillowstatic.com/fp/34fa70c74f0b4be98a77d9e9216d7ac9-p_e.jpg"
"482 Belcaro Way, Oak Park, CA 91377","91377","Oak Park","CA","745000","2","3","1240","600.81","1240","sqft","5/3/2024","1714719600000","https://zillow.com/homedetails/482-Belcaro-Way-Oak-Park-CA-91377/16487608_zpid/","34.17851","-118.78441","TOWNHOUSE","750200","3521","https://photos.zillowstatic.com/fp/757d32d5f2019ec3839f31cbc8b09280-p_e.jpg"
"221 Via Del Caballo, Oak Park, CA 91377","91377","Oak Park","CA","740000","2","2","1294","571.87","1742","sqft","4/26/2024","1714114800000","https://zillow.com/homedetails/221-Via-Del-Caballo-Oak-Park-CA-91377/16495178_zpid/","34.174473","-118.76565","TOWNHOUSE","745800","3423","https://photos.zillowstatic.com/fp/c3cd3c9a01e7166ca398b9f7ff81116d-p_e.jpg"
"6763 Pheasant Ln, Oak Park, CA 91377","91377","Oak Park","CA","995000","3","3","1623","613.06","4992","sqft","4/24/2024","1713942000000","https://zillow.com/homedetails/6763-Pheasant-Ln-Oak-Park-CA-91377/16496495_zpid/","34.184105","-118.75648","SINGLE_FAMILY","989400","4478","https://photos.zillowstatic.com/fp/05a94ad70e511137fda0b1be32bf94a4-p_e.jpg"
"1056 Windmill Ln, Oak Park, CA 91377","91377","Oak Park","CA","780000","3","2","1449","538.3","2629","sqft","4/22/2024","1713769200000","https://zillow.com/homedetails/1056-Windmill-Ln-Oak-Park-CA-91377/16496071_zpid/","34.18312","-118.75824","TOWNHOUSE","786600","4490","https://photos.zillowstatic.com/fp/50d0f609b7a7f2bd9d7d9c750106f458-p_e.jpg"
"75 Smoke Tree Ave, Oak Park, CA 91377","91377","Oak Park","CA","1125000","3","2","1694","664.11","7549","sqft","4/1/2024","1711954800000","https://zillow.com/homedetails/75-Smoke-Tree-Ave-Oak-Park-CA-91377/16494659_zpid/","34.17034","-118.76191","SINGLE_FAMILY","1141800","4540","https://photos.zillowstatic.com/fp/3617c08f1f6752d76d1d799ea5c7e29d-p_e.jpg"
"4802 Piedmont Dr, Oak Park, CA 91377","91377","Oak Park","CA","830000","3","3","1411","588.24","1411.344","sqft","3/14/2024","1710399600000","https://zillow.com/homedetails/4802-Piedmont-Dr-Oak-Park-CA-91377/16486802_zpid/","34.17668","-118.78582","TOWNHOUSE","842100","3983","https://photos.zillowstatic.com/fp/d51de1b5b1cd63afaa5bf3c8f63d35bf-p_e.jpg"
"522 N Park Springs Ct, Oak Park, CA 91377","91377","Oak Park","CA","1100000","3","3","1628","675.68","7041","sqft","3/13/2024","1710313200000","https://zillow.com/homedetails/522-N-Park-Springs-Ct-Oak-Park-CA-91377/16496605_zpid/","34.18012","-118.75188","SINGLE_FAMILY","1116200","4292","https://photos.zillowstatic.com/fp/8094cc886219947882c14a18241f41f0-p_e.jpg"
"1062 Thistlegate Rd, Oak Park, CA 91377","91377","Oak Park","CA","752500","3","3","1514","497.03","1813","sqft","3/8/2024","1709884800000","https://zillow.com/homedetails/1062-Thistlegate-Rd-Oak-Park-CA-91377/16495921_zpid/","34.183704","-118.76062","SINGLE_FAMILY","764200","4572","https://photos.zillowstatic.com/fp/dcdd4b253eaacfb9ee2b777acfa3a406-p_e.jpg"
"1003 Thistlegate Rd, Oak Park, CA 91377","91377","Oak Park","CA","760000","2","2","1146","663.18","2524","sqft","2/28/2024","1709107200000","https://zillow.com/homedetails/1003-Thistlegate-Rd-Oak-Park-CA-91377/16495989_zpid/","34.183","-118.76108","TOWNHOUSE","773100","3550","https://photos.zillowstatic.com/fp/60431636e2712113be7d79d15b8da22a-p_e.jpg"
"68 N Oakleaf Ave, Oak Park, CA 91377","91377","Oak Park","CA","1125000","4","2","1607","700.06","6929","sqft","2/27/2024","1709020800000","https://zillow.com/homedetails/68-N-Oakleaf-Ave-Oak-Park-CA-91377/16494136_zpid/","34.170135","-118.75615","SINGLE_FAMILY","1144700","4742","https://photos.zillowstatic.com/fp/99d4ebcd52b25da26ecb5c2154d691c9-p_e.jpg"
"4786 Saltino Way, Oak Park, CA 91377","91377","Oak Park","CA","3975","3","3","1560","2.55","1132","sqft","2/26/2024","1708934400000","https://zillow.com/homedetails/4786-Saltino-Way-Oak-Park-CA-91377/16486808_zpid/","34.177868","-118.78621","TOWNHOUSE","906900","4174","https://photos.zillowstatic.com/fp/4493e0fea7358abcf0564bc7f072a62b-p_e.jpg"
"6804 E Falconview Ln, Oak Park, CA 91377","91377","Oak Park","CA","872500","3","3","1623","537.58","5643","sqft","1/25/2024","1706169600000","https://zillow.com/homedetails/6804-E-Falconview-Ln-Oak-Park-CA-91377/16496131_zpid/","34.184025","-118.75526","SINGLE_FAMILY","895500","4490","https://photos.zillowstatic.com/fp/bb6ee4dd26563665c686af9be6dbfe37-p_e.jpg"
"1083 Powderhorn Ct, Oak Park, CA 91377","91377","Oak Park","CA","965000","4","3","1628","592.75","4967","sqft","1/17/2024","1705478400000","https://zillow.com/homedetails/1083-Powderhorn-Ct-Oak-Park-CA-91377/16496504_zpid/","34.1844","-118.75732","SINGLE_FAMILY","992200","4703","https://photos.zillowstatic.com/fp/f620dfe234e7b5963d7e0d33d02be364-p_e.jpg"
"5785 Oak Bank Trl UNIT 105, Oak Park, CA 91377","91377","Oak Park","CA","625000","2","3","1244","502.41","1244","sqft","1/8/2024","1704700800000","https://zillow.com/homedetails/5785-Oak-Bank-Trl-UNIT-105-Oak-Park-CA-91377/16496810_zpid/","34.1827","-118.766365","TOWNHOUSE","643300","3676","https://photos.zillowstatic.com/fp/1c7dca4df435fd309b2d28a705cf0e61-p_e.jpg"
"4771 Via Bensa, Oak Park, CA 91377","91377","Oak Park","CA","729900","2","3","1240","588.63","1241.46","sqft","12/28/2023","1703750400000","https://zillow.com/homedetails/4771-Via-Bensa-Oak-Park-CA-91377/16486770_zpid/","34.177696","-118.78668","TOWNHOUSE","753100","3450","https://photos.zillowstatic.com/fp/defcbadaef717d2866839dad6afe1546-p_e.jpg"
"4790 Gondola Dr, Oak Park, CA 91377","91377","Oak Park","CA","715000","2","3","1240","576.61","1240","sqft","12/21/2023","1703145600000","https://zillow.com/homedetails/4790-Gondola-Dr-Oak-Park-CA-91377/16486757_zpid/","34.17678","-118.78642","TOWNHOUSE","738900","3450","https://photos.zillowstatic.com/fp/54589b5fecd62c8210a163173833fbcc-p_e.jpg"
"219 Via Del Caballo, Oak Park, CA 91377","91377","Oak Park","CA","3990","4","2.5","1672","2.39","1742","sqft","12/1/2023","1701417600000","https://zillow.com/homedetails/219-Via-Del-Caballo-Oak-Park-CA-91377/16495179_zpid/","34.174286","-118.76552","SINGLE_FAMILY","943400","3987","https://photos.zillowstatic.com/fp/79d07a666e52689622aff8f05224054f-p_e.jpg"
"409 Zeno Way, Oak Park, CA 91377","91377","Oak Park","CA","850000","3","3","1560","544.87","1560","sqft","11/29/2023","1701244800000","https://zillow.com/homedetails/409-Zeno-Way-Oak-Park-CA-91377/16487589_zpid/","34.176975","-118.785095","TOWNHOUSE","882200","4248","https://photos.zillowstatic.com/fp/58b9e265150b1dab2017c6a716c15e77-p_e.jpg"
"412 Oak Haven Ct, Oak Park, CA 91377","91377","Oak Park","CA","1075000","3","3","1628","660.32","6629.832","sqft","11/28/2023","1701158400000","https://zillow.com/homedetails/412-Oak-Haven-Ct-Oak-Park-CA-91377/16496516_zpid/","34.17817","-118.754745","SINGLE_FAMILY","1116000","4415","https://photos.zillowstatic.com/fp/16a6a507fc7dec1d89547339123c0cc2-p_e.jpg"
"6846 E Poppyview Dr, Oak Park, CA 91377","91377","Oak Park","CA","690000","3","3","1449","476.19","2404","sqft","11/15/2023","1700035200000","https://zillow.com/homedetails/6846-E-Poppyview-Dr-Oak-Park-CA-91377/16496094_zpid/","34.182915","-118.75712","TOWNHOUSE","718200","4148","https://photos.zillowstatic.com/fp/41b5846648363c9b6ccc6451181804d5-p_e.jpg"
"2 N Sparrowhawk Ln, Oak Park, CA 91377","91377","Oak Park","CA","700000","3","3","1462","478.8","2050","sqft","11/9/2023","1699516800000","https://zillow.com/homedetails/2-N-Sparrowhawk-Ln-Oak-Park-CA-91377/16494902_zpid/","34.168335","-118.766754","SINGLE_FAMILY","729300","3936","https://photos.zillowstatic.com/fp/d2b32f9dd411b74788e3251d7bf32a9c-p_e.jpg"
"6562 E Maplegrove St, Oak Park, CA 91377","91377","Oak Park","CA","1095000","3","2","1680","651.79","7611","sqft","10/30/2023","1698649200000","https://zillow.com/homedetails/6562-E-Maplegrove-St-Oak-Park-CA-91377/16494504_zpid/","34.169807","-118.75282","SINGLE_FAMILY","1278500","4511","https://photos.zillowstatic.com/fp/85dedadc9de5e599bc738f42b4aaf58b-p_e.jpg"
"356 Turin St, Oak Park, CA 91377","91377","Oak Park","CA","930000","3","3","1643","566.04","1643","sqft","10/23/2023","1698044400000","https://zillow.com/homedetails/356-Turin-St-Oak-Park-CA-91377/16486895_zpid/","34.176327","-118.78512","TOWNHOUSE","972200","4191","https://photos.zillowstatic.com/fp/e6afe58f7109cef75eeb887dc4702192-p_e.jpg"
"483 Bernini Ct, Oak Park, CA 91377","91377","Oak Park","CA","1000000","3","3","1694","590.32","6444","sqft","10/23/2023","1698044400000","https://zillow.com/homedetails/483-Bernini-Ct-Oak-Park-CA-91377/16487020_zpid/","34.17892","-118.78533","SINGLE_FAMILY","1044700","4499","https://photos.zillowstatic.com/fp/c4a1042504e0de455cf80a8e170fe361-p_e.jpg"
"6802 Cedarbark Ct, Oak Park, CA 91377","91377","Oak Park","CA","965000","3","3","1623","594.58","4618","sqft","9/19/2023","1695106800000","https://zillow.com/homedetails/6802-Cedarbark-Ct-Oak-Park-CA-91377/16496114_zpid/","34.18444","-118.7559","SINGLE_FAMILY","1012700","4252","https://photos.zillowstatic.com/fp/334fa7042e3f58534882c7c9750b4771-p_e.jpg"
"1011 Thistlegate Rd, Oak Park, CA 91377","91377","Oak Park","CA","825000","3","3","1514","544.91","1823","sqft","9/14/2023","1694674800000","https://zillow.com/homedetails/1011-Thistlegate-Rd-Oak-Park-CA-91377/16495991_zpid/","34.18304","-118.761314","TOWNHOUSE","866300","4411","https://photos.zillowstatic.com/fp/b84edcfb12c21b288dc6bacbf7eb6a02-p_e.jpg"
"5692 E Camelia Ln, Oak Park, CA 91377","91377","Oak Park","CA","715000","2","2","1294","552.55","2375","sqft","9/13/2023","1694588400000","https://zillow.com/homedetails/5692-E-Camelia-Ln-Oak-Park-CA-91377/16494942_zpid/","34.171295","-118.76831","SINGLE_FAMILY","750900","3601","https://photos.zillowstatic.com/fp/39d7244b66b8af0681bd9de1909a8b46-p_e.jpg"
"4794 Piedmont Dr, Oak Park, CA 91377","91377","Oak Park","CA","890000","3","3","1560","570.51","1560","sqft","9/12/2023","1694502000000","https://zillow.com/homedetails/4794-Piedmont-Dr-Oak-Park-CA-91377/16486804_zpid/","34.176662","-118.78599","TOWNHOUSE","934800","4194","https://photos.zillowstatic.com/fp/c7fdfed98e3de24a569bd96641825a8d-p_e.jpg"
"5169 Pesto Way, Oak Park, CA 91377","91377","Oak Park","CA","1350000","3","2","1581","853.89","5322","sqft","8/31/2023","1693465200000","https://zillow.com/homedetails/5169-Pesto-Way-Oak-Park-CA-91377/16487369_zpid/","34.17634","-118.778206","SINGLE_FAMILY","1420000","4344","https://photos.zillowstatic.com/fp/3a1221a608b89ac7cd62573b3afe6df6-p_e.jpg"
"675 Oak Run Trl UNIT 112, Oak Park, CA 91377","91377","Oak Park","CA","570000","2","2","1104","516.3","1104","sqft","8/23/2023","1692774000000","https://zillow.com/homedetails/675-Oak-Run-Trl-UNIT-112-Oak-Park-CA-91377/16496928_zpid/","34.18407","-118.76711","TOWNHOUSE","600100","3539","https://photos.zillowstatic.com/fp/0d4e3b720227e9c71703d0d1caffe397-p_e.jpg"
"184 Conifer Cir, Oak Park, CA 91377","91377","Oak Park","CA","715000","2","2","1048","682.25","3394","sqft","8/10/2023","1691650800000","https://zillow.com/homedetails/184-Conifer-Cir-Oak-Park-CA-91377/16494919_zpid/","34.17172","-118.7666","TOWNHOUSE","695900","3346","https://photos.zillowstatic.com/fp/371425f0f93c42bd19bc2c9f6908aef3-p_e.jpg"
"4823 Parma Dr, Oak Park, CA 91377","91377","Oak Park","CA","910000","3","3","1560","583.33","1560","sqft","8/3/2023","1691046000000","https://zillow.com/homedetails/4823-Parma-Dr-Oak-Park-CA-91377/16487556_zpid/","34.178684","-118.78544","TOWNHOUSE","962100","4248","https://photos.zillowstatic.com/fp/41b4f6686b75d91606be922a8332bc19-p_e.jpg"
"4896 Lazio Way, Oak Park, CA 91377","91377","Oak Park","CA","870000","3","3","1643","529.52","1643","sqft","7/31/2023","1690786800000","https://zillow.com/homedetails/4896-Lazio-Way-Oak-Park-CA-91377/16495231_zpid/","34.17611","-118.78401","TOWNHOUSE","920200","4296","https://photos.zillowstatic.com/fp/0f473039e00c6081100d3313b73f837b-p_e.jpg"
