"address","zipCode","city","state","price","bed","bath","sqft","pricePerSf","lotArea","lotAreaType","dateSold","dateSoldNumeric","zillowUrl","latitude","longitude","homeType","zestimate","rentZestimate","imageUrl"
"2162 Montgomery Rd, Thousand Oaks, CA 91360","91360","Thousand Oaks","CA","1050000","3","2","1786","587.91","0.29494949494949496","acres","9/4/2024","1725433200000","https://zillow.com/homedetails/2162-Montgomery-Rd-Thousand-Oaks-CA-91360/16480952_zpid/","34.20735","-118.86122","SINGLE_FAMILY","1039400","4482","https://photos.zillowstatic.com/fp/b9aa4ed9c0a77d287e09553245f7d09c-p_e.jpg"
"364 W Avenida De Los Arboles, Thousand Oaks, CA 91360","91360","Thousand Oaks","CA","950000","4","2","1841","516.02","8686","sqft","9/4/2024","1725433200000","https://zillow.com/homedetails/364-W-Avenida-De-Los-Arboles-Thousand-Oaks-CA-91360/2069750145_zpid/","34.21695","-118.88562","SINGLE_FAMILY","897300","4279","https://photos.zillowstatic.com/fp/0fbe2f204eddd20f6b04d3446571cd24-p_e.jpg"
"3649 Calle Quebracho, Thousand Oaks, CA 91360","91360","Thousand Oaks","CA","950000","3","2","1186","801.01","0.4430670339761249","acres","9/2/2024","1725260400000","https://zillow.com/homedetails/3649-Calle-Quebracho-Thousand-Oaks-CA-91360/16478991_zpid/","34.227924","-118.86507","SINGLE_FAMILY","986400","4011","https://photos.zillowstatic.com/fp/f6d57d46db9a86f367e88b4811507d46-p_e.jpg"
"4048 N Verde Vista Dr, Thousand Oaks, CA 91360","91360","Thousand Oaks","CA","875000","3","2","1561","560.54","9376","sqft","8/30/2024","1725001200000","https://zillow.com/homedetails/4048-N-Verde-Vista-Dr-Thousand-Oaks-CA-91360/16422303_zpid/","34.233643","-118.87463","SINGLE_FAMILY","875000","4072","https://photos.zillowstatic.com/fp/d40d6cffc161fa19927a9a68783fa08c-p_e.jpg"
"855 E Avenida De Los Arboles, Thousand Oaks, CA 91360","91360","Thousand Oaks","CA","829000","4","2","1534","540.42","0.2777777777777778","acres","8/30/2024","1725001200000","https://zillow.com/homedetails/855-E-Avenida-De-Los-Arboles-Thousand-Oaks-CA-91360/16480265_zpid/","34.21621","-118.86263","SINGLE_FAMILY","808200","4686","https://photos.zillowstatic.com/fp/08b03aa5bbeb57aee2b1b81b6470d302-p_e.jpg"
"549 Meadowrun St, Thousand Oaks, CA 91360","91360","Thousand Oaks","CA","1275000","4","3","2763","461.45","0.5148071625344353","acres","8/29/2024","1724914800000","https://zillow.com/homedetails/549-Meadowrun-St-Thousand-Oaks-CA-91360/16422746_zpid/","34.234703","-118.86789","SINGLE_FAMILY","1275100","7903","https://photos.zillowstatic.com/fp/e5cc41becca8b428686c5c314e782265-p_e.jpg"
"725 W San Andres Cir, Thousand Oaks, CA 91360","91360","Thousand Oaks","CA","985000","3","2","1529","644.21","8572","sqft","8/29/2024","1724914800000","https://zillow.com/homedetails/725-W-San-Andres-Cir-Thousand-Oaks-CA-91360/16422987_zpid/","34.214897","-118.89601","SINGLE_FAMILY","985100","4146","https://photos.zillowstatic.com/fp/923d5f47f14dee6f471aa7bfda3bc84f-p_e.jpg"
"362 Camino Manzanas, Thousand Oaks, CA 91360","91360","Thousand Oaks","CA","932000","5","2","2085","447","0.29614325068870523","acres","8/29/2024","1724914800000","https://zillow.com/homedetails/362-Camino-Manzanas-Thousand-Oaks-CA-91360/300035586_zpid/","34.198","-118.88622","SINGLE_FAMILY","932100","4885","https://photos.zillowstatic.com/fp/e77fa042ba37191e6f7fce5d62024510-p_e.jpg"
"27 W Gainsborough Rd, Thousand Oaks, CA 91360","91360","Thousand Oaks","CA","920000","5","2","2085","441.25","9000","sqft","8/28/2024","1724828400000","https://zillow.com/homedetails/27-W-Gainsborough-Rd-Thousand-Oaks-CA-91360/16425670_zpid/","34.19621","-118.876305","SINGLE_FAMILY","920200","5379","https://photos.zillowstatic.com/fp/2e940effab1ae2b1fc38041fd9e147d0-p_e.jpg"
"2923 Camino Del Zuro, Thousand Oaks, CA 91360","91360","Thousand Oaks","CA","977000","3","2","1303","749.81","0.2538337924701561","acres","8/27/2024","1724742000000","https://zillow.com/homedetails/2923-Camino-Del-Zuro-Thousand-Oaks-CA-91360/16478805_zpid/","34.219963","-118.86494","SINGLE_FAMILY","977200","4108","https://photos.zillowstatic.com/fp/3955b0a2dacba0d871de509022219739-p_e.jpg"
