"address","zipCode","city","state","price","bed","bath","sqft","pricePerSf","lotArea","lotAreaType","dateSold","dateSoldNumeric","zillowUrl","latitude","longitude","homeType","zestimate","rentZestimate","imageUrl"
"2491 Markham Ave, Thousand Oaks, CA 91360","91360","Thousand Oaks","CA","962000","3","2","1561","616.27","8800","sqft","10/2/2024","1727852400000","https://zillow.com/homedetails/2491-Markham-Ave-Thousand-Oaks-CA-91360/16424708_zpid/","34.211517","-118.87768","SINGLE_FAMILY","","4387","https://photos.zillowstatic.com/fp/2219e6b08f41f5ad85ce3167de796ec3-p_e.jpg"
"695 Encino Vista Dr, Thousand Oaks, CA 91362","91362","Thousand Oaks","CA","1075000","3","3","1747","615.34","0.3049816345270891","acres","10/2/2024","1727852400000","https://zillow.com/homedetails/695-Encino-Vista-Dr-Thousand-Oaks-CA-91362/16476392_zpid/","34.187153","-118.85947","SINGLE_FAMILY","","4776","https://photos.zillowstatic.com/fp/88255fb4041cda8f450da0d33c343079-p_e.jpg"
"3983 Monterey Ct, Thousand Oaks, CA 91320","91320","Thousand Oaks","CA","930000","3","2","1348","689.91","6698","sqft","10/1/2024","1727766000000","https://zillow.com/homedetails/3983-Monterey-Ct-Thousand-Oaks-CA-91320/16412029_zpid/","34.17974","-118.95888","SINGLE_FAMILY","870600","3973","https://photos.zillowstatic.com/fp/1be579d73f089776dc13afc40acd4c1d-p_e.jpg"
"651 Glencliff Cir, Thousand Oaks, CA 91360","91360","Thousand Oaks","CA","999000","3","2","1796","556.24","9448","sqft","10/1/2024","1727766000000","https://zillow.com/homedetails/651-Glencliff-Cir-Thousand-Oaks-CA-91360/16429385_zpid/","34.222878","-118.89304","SINGLE_FAMILY","","4504","https://photos.zillowstatic.com/fp/c7856ed2da90943c09cc5bd1de88f6c0-p_e.jpg"
"1776 Bates Ct, Thousand Oaks, CA 91362","91362","Thousand Oaks","CA","1119000","4","3","2162","517.58","10281","sqft","10/1/2024","1727766000000","https://zillow.com/homedetails/1776-Bates-Ct-Thousand-Oaks-CA-91362/16482875_zpid/","34.191048","-118.84484","SINGLE_FAMILY","","5703","https://photos.zillowstatic.com/fp/f88af8f64056aa8315ba2a4fa90b9b13-p_e.jpg"
"3317 Sunset Hills Blvd, Thousand Oaks, CA 91362","91362","Thousand Oaks","CA","2100000","5","5","4100","512.2","8131","sqft","10/1/2024","1727766000000","https://zillow.com/homedetails/3317-Sunset-Hills-Blvd-Thousand-Oaks-CA-91362/52466204_zpid/","34.224995","-118.8155","SINGLE_FAMILY","2138400","7800","https://photos.zillowstatic.com/fp/4cc6555181867d2be9866f2a170a8af7-p_e.jpg"
"3812 San Marcos Ct, Thousand Oaks, CA 91320","91320","Thousand Oaks","CA","900000","4","2","1406","640.11","5100","sqft","9/30/2024","1727679600000","https://zillow.com/homedetails/3812-San-Marcos-Ct-Thousand-Oaks-CA-91320/16411656_zpid/","34.179916","-118.9562","SINGLE_FAMILY","894300","3986","https://photos.zillowstatic.com/fp/925768f06d77d6baf94ebe7a4d90d6f3-p_e.jpg"
"3970 Calle Mira Monte, Newbury Park, CA 91320","91320","Newbury Park","CA","1185000","4","3","2200","538.64","8315","sqft","9/30/2024","1727679600000","https://zillow.com/homedetails/3970-Calle-Mira-Monte-Newbury-Park-CA-91320/16412052_zpid/","34.189598","-118.96031","SINGLE_FAMILY","1183800","5184","https://photos.zillowstatic.com/fp/1da3466609cffe8d858bf23914e97ce1-p_e.jpg"
"3123 Foxtail Ct, Thousand Oaks, CA 91362","91362","Thousand Oaks","CA","1080000","3","3","1806","598.01","1806","sqft","9/30/2024","1727679600000","https://zillow.com/homedetails/3123-Foxtail-Ct-Thousand-Oaks-CA-91362/16430330_zpid/","34.21904","-118.818","SINGLE_FAMILY","1110300","4446","https://photos.zillowstatic.com/fp/ca16ad00c8008e25400a94c354408c9e-p_e.jpg"
"3117 Woodgreen Ct, Thousand Oaks, CA 91362","91362","Thousand Oaks","CA","1475000","4","3","2568","574.38","7508","sqft","9/30/2024","1727679600000","https://zillow.com/homedetails/3117-Woodgreen-Ct-Thousand-Oaks-CA-91362/16433244_zpid/","34.22208","-118.831535","SINGLE_FAMILY","1454700","6020","https://photos.zillowstatic.com/fp/8fddd6c57604139ba71a22b4958dde42-p_e.jpg"
"3506 Quarzo Cir, Thousand Oaks, CA 91362","91362","Thousand Oaks","CA","1550000","4","3","2750","563.64","0.4473829201101928","acres","9/30/2024","1727679600000","https://zillow.com/homedetails/3506-Quarzo-Cir-Thousand-Oaks-CA-91362/16436531_zpid/","34.22631","-118.8415","SINGLE_FAMILY","1503500","6542","https://photos.zillowstatic.com/fp/575847bd13fb005b6fc77189b95b9417-p_e.jpg"
"2810 Rainfield Ave, Westlake Village, CA 91362","91362","Westlake Village","CA","2480000","4","5","4007","618.92","0.3998852157943067","acres","9/30/2024","1727679600000","https://zillow.com/homedetails/2810-Rainfield-Ave-Westlake-Village-CA-91362/52465613_zpid/","34.20689","-118.82552","SINGLE_FAMILY","2532300","10263","https://photos.zillowstatic.com/fp/f56dfc43a82272c786f4d2331c9189b4-p_e.jpg"
"2644 N Velarde Dr, Thousand Oaks, CA 91360","91360","Thousand Oaks","CA","1070000","4","2","1797","595.44","0.25488980716253445","acres","9/27/2024","1727420400000","https://zillow.com/homedetails/2644-N-Velarde-Dr-Thousand-Oaks-CA-91360/16422998_zpid/","34.215748","-118.89854","SINGLE_FAMILY","1085200","4761","https://photos.zillowstatic.com/fp/a7013e8c096985ab436ee963f4804cf5-p_e.jpg"
"476 Azalea St, Thousand Oaks, CA 91360","91360","Thousand Oaks","CA","1110000","4","2","1639","677.24","8122","sqft","9/27/2024","1727420400000","https://zillow.com/homedetails/476-Azalea-St-Thousand-Oaks-CA-91360/16429162_zpid/","34.218864","-118.89011","SINGLE_FAMILY","1110100","4357","https://photos.zillowstatic.com/fp/1a13c91881e75e728b7fa1f5c050bfe3-p_e.jpg"
"2162 Shady Brook Dr, Thousand Oaks, CA 91362","91362","Thousand Oaks","CA","750000","3","3","1600","468.75","5376","sqft","9/27/2024","1727420400000","https://zillow.com/homedetails/2162-Shady-Brook-Dr-Thousand-Oaks-CA-91362/16430843_zpid/","34.21366","-118.8416","SINGLE_FAMILY","750100","4197","https://photos.zillowstatic.com/fp/a92d63529c63dbef3174c4dbd763109f-p_e.jpg"
"2870 Shelterwood Ct, Thousand Oaks, CA 91362","91362","Thousand Oaks","CA","850000","3","2","1693","502.07","8387","sqft","9/27/2024","1727420400000","https://zillow.com/homedetails/2870-Shelterwood-Ct-Thousand-Oaks-CA-91362/16431596_zpid/","34.217484","-118.84836","SINGLE_FAMILY","850100","4519","https://photos.zillowstatic.com/fp/1ecff5aa9769761cd98f20e08f1efddb-p_e.jpg"
"208 Deerwalk Pl, Thousand Oaks, CA 91320","91320","Thousand Oaks","CA","4800","4","2.5","2300","2.09","10704","sqft","9/27/2024","1727420400000","https://zillow.com/homedetails/208-Deerwalk-Pl-Thousand-Oaks-CA-91320/16470415_zpid/","34.18153","-118.93051","SINGLE_FAMILY","863800","4835","https://maps.googleapis.com/maps/api/staticmap?mobile=false&sensor=true&maptype=satellite&size=575x242&zoom=17&center=34.1815299987793,-118.93051147460938&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=g1UP7u-onKjx5j4xtaQS9qUkAtg="
"1184 Waverly Heights Dr, Thousand Oaks, CA 91360","91360","Thousand Oaks","CA","1125000","3","2","1744","645.07","0.47695133149678604","acres","9/27/2024","1727420400000","https://zillow.com/homedetails/1184-Waverly-Heights-Dr-Thousand-Oaks-CA-91360/16481526_zpid/","34.203594","-118.85918","SINGLE_FAMILY","1125100","4563","https://photos.zillowstatic.com/fp/64ed24fcedb74bb3bb23391867fbbbdd-p_e.jpg"
"1848 Marview Dr, Thousand Oaks, CA 91362","91362","Thousand Oaks","CA","1500000","5","3","2590","579.15","7879","sqft","9/27/2024","1727420400000","https://zillow.com/homedetails/1848-Marview-Dr-Thousand-Oaks-CA-91362/16483021_zpid/","34.201717","-118.8424","SINGLE_FAMILY","1500200","6009","https://photos.zillowstatic.com/fp/54100b6cfdc5492b64cfcea2bbe79309-p_e.jpg"
"3236 N Sawtooth Ct, Thousand Oaks, CA 91362","91362","Thousand Oaks","CA","1345000","5","3","2637","510.05","7196.112","sqft","9/27/2024","1727420400000","https://zillow.com/homedetails/3236-N-Sawtooth-Ct-Thousand-Oaks-CA-91362/16484068_zpid/","34.170937","-118.83209","SINGLE_FAMILY","1345100","7432","https://photos.zillowstatic.com/fp/77af37c045f055672eb36de7b4e724b7-p_e.jpg"
